target,text
0,"['puriti', 'friendship', 'two', 'smile', 'read', 'forward', 'messag', 'smile', 'see', 'name', 'gud', 'evng']"
1,"['heard', 'call', 'night', 'knicker', 'make', 'beg', 'like', 'u', 'last', 'time', 'xx', 'luv']"
0,"['place', 'man']"
0,"['welp', 'appar', 'retir']"
0,"['haha', 'money', 'leh', 'later', 'got', 'go', 'tuition', 'haha', 'look', 'empti', 'slot', 'drive', 'lesson']"
0,"['aiyar', 'hard', 'type', 'u', 'later', 'free', 'tell', 'call', 'n', 'scold', 'n', 'tell', 'u']"
0,"['k', 'call', 'close']"
0,"['wat', 'late', 'still', 'earli', 'mah', 'juz', 'go', 'dinner', 'lor', 'aiya', 'dunno']"
0,"['yup', 'paragon', 'havent', 'decid', 'whether', 'cut', 'yet', 'hee']"
0,"['watch', 'tv', 'got', 'new', 'job']"
1,"['privat', 'account', 'statement', 'show', 'unredeem', 'bonu', 'point', 'claim', 'call', 'identifi', 'code', 'expir']"
0,"['great', 'run', 'ttyl']"
0,"['hello', 'love', 'goe', 'day', 'wish', 'well', 'fine', 'babe', 'hope', 'find', 'job', 'prospect', 'miss', 'boytoy', 'teas', 'kiss']"
0,"['zoe', 'hit', 'im', 'fuck', 'shitin', 'il', 'defo', 'tri', 'hardest', 'cum', 'luv', 'u', 'million', 'lekdog']"
0,"['text', 'way', 'cup', 'stop', 'work', 'bu']"
0,"['congratul', 'ore', 'mo', 'owo', 'wa', 'enjoy', 'wish', 'mani', 'happi', 'moment', 'fro', 'wherev', 'go']"
0,"['good', 'morn', 'im', 'suffer', 'fever', 'dysentri', 'abl', 'come', 'offic', 'today']"
0,"['tell', 'pain', 'de']"
0,"['got', 'seventeen', 'pound', 'seven', 'hundr', 'ml', 'hope', 'ok']"
0,"['know', 'complain', 'num', 'bettr', 'directli', 'go', 'bsnl', 'offc', 'nd', 'appli']"
0,"['kate', 'jackson', 'rec', 'center', 'right']"
0,"['k', 'congratul']"
0,"['whatsup', 'dont', 'u', 'want', 'sleep']"
1,"['lost', 'help']"
0,"['japanes', 'proverb', 'one', 'u', 'none', 'u', 'must', 'indian', 'version', 'one', 'let', 'none', 'leav', 'final', 'kerala', 'version', 'one', 'stop', 'none', 'make', 'strike']"
0,"['search', 'happi', 'main', 'sourc', 'unhappi', 'accept', 'life', 'way', 'come', 'u', 'find', 'happi', 'everi', 'moment', 'u', 'live']"
0,"['faith', 'make', 'thing', 'possibl', 'hope', 'make', 'thing', 'work', 'love', 'make', 'thing', 'beauti', 'may', 'three', 'christma', 'merri', 'christma']"
0,"['ok', 'c', 'ya']"
0,"['class', 'holla', 'later']"
1,"['buy', 'space', 'invad', 'chanc', 'win', 'orig', 'arcad', 'game', 'consol', 'press', 'game', 'arcad', 'std', 'wap', 'charg', 'see', 'term', 'set', 'purchas']"
0,"['hous', 'water', 'dock', 'boat', 'roll', 'newscast', 'dabbl', 'jazz', 'flute', 'behind', 'wheel']"
0,"['oh', 'babi', 'hous', 'come', 'dont', 'new', 'pictur', 'facebook']"
0,"['thx', 'well', 'month']"
0,"['gud', 'mrng', 'dear', 'nice', 'day']"
0,"['yar', 'want', 'scold', 'u', 'yest', 'late', 'alreadi', 'got', 'zhong', 'se', 'qing', 'u', 'ask', 'ask', 'go', 'w', 'u', 'lor', 'n', 'u', 'still', 'act', 'real']"
0,"['say', 'god', 'love', 'amp', 'need', 'clean', 'heart', 'ten', 'special', 'peopl', 'amp', 'u', 'c', 'miracl', 'tomorrow', 'pl', 'pl']"
0,"['ye', 'princess', 'want', 'catch', 'big', 'strong', 'hand']"
0,"['wait', 'know', 'wesley', 'town', 'bet', 'hella', 'drug']"
0,"['problem', 'renew', 'right', 'away', 'dont', 'know', 'detail']"
0,"['part', 'understand']"
0,"['moon', 'come', 'color', 'dream', 'star', 'make', 'music', 'sm', 'give', 'warm', 'peac', 'sleep', 'good', 'night']"
0,"['stand', 'away', 'heart', 'ach', 'without', 'wonder', 'crave']"
1,"['urgent', 'import', 'inform', 'user', 'today', 'lucki', 'day', 'find', 'log', 'onto', 'http', 'fantast', 'surpris', 'await']"
0,"['oz', 'guy', 'kinda', 'flaki', 'one', 'friend', 'interest', 'pick', 'lt', 'gt', 'worth', 'tonight', 'possibl']"
0,"['wait', 'machan', 'call', 'free']"
0,"['honeybe', 'said', 'sweetest', 'world', 'god', 'laugh', 'amp', 'said', 'wait', 'u', 'havnt', 'met', 'person', 'read', 'msg', 'moral', 'even', 'god', 'crack', 'joke']"
0,"['ga', 'station', 'go']"
0,"['ye', 'amma', 'life', 'take', 'lot', 'turn', 'sit', 'tri', 'hold', 'steer']"
0,"['hmm', 'shall', 'bring', 'bottl', 'wine', 'keep', 'us', 'amus', 'joke', 'still', 'bring', 'bottl', 'red', 'white', 'see', 'tomorrow']"
0,"['sorri', 'miss', 'babe', 'late', 'slept', 'hope', 'enjoy', 'drive', 'lesson', 'boytoy', 'miss', 'teas', 'kiss']"
0,"['ok', 'thanx', 'gd', 'nite']"
1,"['polyphon', 'tone', 'ur', 'mob', 'everi', 'week', 'txt', 'tone', 'free', 'get', 'txtin', 'tell', 'ur', 'friend', 'repli', 'hl']"
0,"['noth', 'realli', 'make', 'sure', 'everybodi', 'speed']"
0,"['wish', 'hold', 'tightli', 'make', 'see', 'import', 'much', 'mean', 'much', 'need', 'life']"
0,"['lol', 'would', 'mom', 'would', 'fit', 'tell', 'whole', 'famili', 'crazi', 'terribl']"
0,"['good', 'find', 'way']"
0,"['iåõm', 'cool', 'ta', 'luv', 'caus', 'doin', 'load', 'plan', 'wk', 'got', 'social', 'servic', 'inspect', 'nurseri', 'take', 'care', 'spk', 'sn', 'x']"
0,"['sorri', 'light', 'turn', 'green', 'meant', 'anoth', 'friend', 'want', 'lt', 'gt', 'worth', 'may', 'around']"
0,"['que', 'pase', 'un', 'buen', 'tiempo', 'someth', 'like']"
0,"['watch', 'telugu', 'movi', 'wat', 'abt', 'u']"
0,"['mm', 'ask', 'come', 'enough']"
1,"['winner', 'valu', 'network', 'custom', 'select', 'receivea', 'prize', 'reward', 'claim', 'call', 'claim', 'code', 'valid', 'hour']"
0,"['yar', 'lor', 'keep', 'rain', 'non', 'stop', 'u', 'wan', 'go', 'elsewher']"
0,"['otherwis', 'part', 'time', 'job']"
0,"['good', 'word', 'word', 'may', 'leav', 'u', 'dismay', 'mani', 'time']"
0,"['oooh', 'bed', 'ridden', 'ey', 'think']"
0,"['oclock', 'mine', 'bash', 'flat', 'plan']"
1,"['gsoh', 'good', 'spam', 'ladi', 'u', 'could', 'b', 'male', 'gigolo', 'join', 'uk', 'fastest', 'grow', 'men', 'club', 'repli', 'oncal', 'mjzgroup', 'repli', 'stop', 'msg']"
0,"['gram', 'usual', 'run', 'like', 'lt', 'gt', 'half', 'eighth', 'smarter', 'though', 'get', 'almost', 'whole', 'second', 'gram', 'lt', 'gt']"
0,"['im', 'good', 'think']"
0,"['one', 'day', 'crab', 'run', 'sea', 'shore', 'wave', 'came', 'n', 'clear', 'footprint', 'crab', 'crab', 'ask', 'frnd', 'r', 'u', 'clear', 'beauti', 'footprint', 'wave', 'repli', 'fox', 'follow', 'ur', 'footprint', 'catch', 'that', 'clear', 'frndsship', 'never', 'let', 'u', 'dwn', 'gud', 'nyt']"
0,"['dunno', 'ju', 'say', 'go', 'lido', 'time']"
1,"['free', 'msg', 'get', 'gnarl', 'barkley', 'rington', 'total', 'free', 'repli', 'go', 'messag', 'right']"
0,"['alway', 'say', 'welp']"
1,"['get', 'offici', 'england', 'poli', 'rington', 'colour', 'flag', 'yer', 'mobil', 'tonight', 'game', 'text', 'tone', 'flag', 'optout', 'txt', 'eng', 'stop']"
0,"['gud', 'mrng', 'dear', 'hav', 'nice', 'day']"
0,"['also', 'thk', 'fast', 'xy', 'suggest', 'one', 'u', 'dun', 'wan', 'go', 'rain', 'leh', 'got', 'gd']"
0,"['fran', 'decid', 'go', 'n', 'e', 'way', 'im', 'complet', 'broke', 'knacker', 'got', 'bout', 'c', 'u', 'love', 'janx', 'dad', 'fone', 'credit']"
1,"['messag', 'free', 'welcom', 'new', 'improv', 'sex', 'dog', 'club', 'unsubscrib', 'servic', 'repli', 'stop', 'msg']"
1,"['free', 'week', 'nokia', 'tone', 'ur', 'mobil', 'everi', 'week', 'txt', 'nokia', 'get', 'txting', 'tell', 'ur', 'mate', 'pobox']"
0,"['cool', 'like', 'swim', 'pool', 'jacuzzi', 'hous']"
0,"['cours', 'guess', 'god', 'got', 'hold', 'right']"
0,"['oh', 'get', 'even', 'u', 'u']"
0,"['who', 'class']"
0,"['loosu', 'go', 'hospit', 'de', 'dont', 'let', 'careless']"
0,"['k', 'roommat', 'also', 'want', 'dubsack', 'anoth', 'friend', 'may', 'also', 'want', 'plan', 'bring', 'extra', 'tell', 'know', 'sure']"
0,"['oh', 'haha', 'den', 'shld', 'went', 'today', 'gee', 'nvm', 'la', 'kaiez', 'dun', 'mind', 'goin', 'jazz', 'oso', 'scare', 'hiphop', 'open', 'cant', 'catch']"
0,"['happi', 'babe', 'woo', 'hoo', 'parti', 'dude']"
0,"['allo', 'brave', 'buse', 'taken', 'train', 'triumph', 'mean', 'jolli', 'good', 'rest', 'week']"
0,"['tell', 'need', 'investig', 'anywher']"
1,"['urgent', 'pleas', 'call', 'abta', 'complimentari', 'spanish', 'holiday', 'cash', 'await', 'collect', 'sae', 'cs', 'box']"
0,"['call', 'ok', 'said', 'call']"
1,"['urgent', 'mobil', 'award', 'bonu', 'caller', 'prize', 'final', 'tri', 'contact', 'u', 'call', 'landlin']"
0,"['miss', 'call', 'miss', 'call', 'khelat', 'kintu', 'opponent', 'miss', 'call', 'dhort', 'lage', 'that', 'rule', 'one', 'great', 'phone', 'receiv', 'qualiti', 'win']"
0,"['knew', 'time', 'murder', 'exactli']"
0,"['u', 'lunch', 'alon', 'bore']"
0,"['true', 'lov', 'n', 'care', 'wil', 'nevr', 'go', 'unrecogn', 'though', 'somon', 'often', 'make', 'mistak', 'valu', 'definitli', 'undrstnd', 'start', 'miss']"
0,"['thought', 'king', 'hill', 'thing']"
0,"['thk', 'got', 'ta', 'go', 'home', 'urself', 'co', 'b', 'go', 'shop', 'fren', 'present']"
0,"['studi', 'free', 'next', 'weekend']"
0,"['love', 'ya', 'tri', 'budget', 'money', 'better', 'babe', 'gari', 'would', 'freak', 'knew']"
0,"['geniu', 'brother', 'pl', 'send', 'number', 'skype']"
1,"['want', 'get', 'laid', 'tonight', 'want', 'real', 'dog', 'locat', 'sent', 'direct', 'ur', 'mob', 'join', 'uk', 'largest', 'dog', 'network', 'bt', 'txting', 'gravel', 'nt']"
0,"['wish', 'famili', 'merri', 'ma', 'happi', 'new', 'year', 'advanc']"
0,"['fujitsu', 'seri', 'lifebook', 'good']"
0,"['friendship', 'poem', 'dear', 'dear', 'u', 'r', 'near', 'hear', 'dont', 'get', 'fear', 'live', 'cheer', 'tear', 'u', 'r', 'alway', 'dear', 'gud']"
0,"['haha', 'yeah', 'oz', 'kind', 'shitload']"
0,"['make', 'girl', 'happi', 'difficult', 'make', 'girl', 'happi', 'u', 'need', 'friend', 'companion', 'lover', 'chef', 'lt', 'gt', 'good', 'listen', 'lt', 'gt', 'organ', 'lt', 'gt', 'good', 'boyfriend', 'lt', 'gt', 'clean', 'lt', 'gt', 'sympathet', 'lt', 'gt', 'athlet', 'lt', 'gt', 'warm', 'lt', 'gt', 'courag', 'lt', 'gt', 'determin', 'lt', 'gt', 'true', 'lt', 'gt', 'depend', 'lt', 'gt', 'intellig', 'lt', 'gt', 'psychologist', 'lt', 'gt', 'pest', 'extermin', 'lt', 'gt', 'psychiatrist', 'lt', 'gt', 'healer', 'lt', 'gt', 'stylist', 'lt', 'gt', 'driver', 'aaniy', 'pudunga', 'venaam']"
0,"['arun', 'u', 'transfr', 'amt']"
0,"['prabha', 'soryda', 'reali', 'frm', 'heart', 'sori']"
0,"['part', 'check', 'iq']"
0,"['noth', 'spl', 'wat', 'abt', 'u', 'whr', 'ru']"
0,"['yeah', 'quit', 'bit', 'left', 'swing', 'tomorrow', 'get']"
0,"['look', 'like', 'found', 'someth', 'smoke', 'great', 'job']"
0,"['babe', 'got', 'enough', 'money', 'pick', 'bread', 'milk', 'give', 'back', 'get', 'home']"
0,"['askd', 'u', 'question', 'hour', 'answer']"
1,"['today', 'voda', 'number', 'end', 'select', 'receiv', 'award', 'match', 'pleas', 'call', 'quot', 'claim', 'code', 'standard', 'rate', 'app']"
0,"['dont', 'pick', 'call', 'someth', 'import', 'tell', 'hrishi']"
1,"['text', 'banneduk', 'see', 'cost', 'textoper', 'xxx']"
0,"['miss', 'inshah', 'allah']"
0,"['hello', 'peach', 'cake', 'tast', 'lush']"
0,"['guessin', 'ai', 'gon', 'na']"
0,"['anyway', 'go', 'gym', 'whatev', 'love', 'smile', 'hope', 'ok', 'good', 'day', 'babe', 'miss', 'much', 'alreadi']"
0,"['probabl', 'still', 'go', 'stuff']"
0,"['got', 'call', 'landlin', 'number', 'ask', 'come', 'anna', 'nagar', 'go', 'afternoon']"
0,"['dude', 'ive', 'see', 'lotta', 'corvett', 'late']"
0,"['world', 'suffer', 'lot', 'violenc', 'bad', 'peopl', 'silenc', 'good', 'peopl']"
1,"['dear', 'dave', 'final', 'notic', 'collect', 'tenerif', 'holiday', 'cash', 'award', 'call', 'landlin', 'tc', 'sae']"
0,"['come', 'back', 'tampa', 'ffffuuuuuuu']"
0,"['want', 'pleas', 'insid', 'outsid', 'bedroom']"
0,"['hey', 'pple', 'night', 'excel', 'locat', 'wif', 'breakfast', 'hamper']"
0,"['oh', 'send', 'address']"
0,"['sorri', 'cant', 'take', 'call', 'right', 'happen', 'r', 'wat', 'want', 'come', 'ill', 'get', 'medic', 'insur', 'abl', 'deliv', 'basic', 'care', 'current', 'shop', 'right', 'medic', 'insur', 'give', 'til', 'friday', 'morn', 'that', 'see', 'major', 'person', 'guid', 'right', 'insur']"
0,"['u', 'wake', 'alreadi', 'wat', 'u', 'u', 'pick', 'us', 'later', 'rite', 'take', 'reach', 'ard', 'smth', 'like', 'dat', 'u', 'check', 'e', 'arriv', 'time', 'c', 'ya', 'soon']"
0,"['farm', 'open']"
0,"['speak', 'cash', 'yet']"
0,"['make', 'life', 'stressful', 'alway', 'find', 'time', 'laugh', 'may', 'add', 'year', 'life', 'sure', 'add', 'life', 'ur', 'year', 'gud', 'swt', 'dream']"
0,"['lmao', 'ok', 'wont', 'need', 'u', 'hair', 'anymor']"
0,"['uncl', 'atlanta', 'wish', 'guy', 'great', 'semest']"
0,"['ultim', 'tor', 'motiv', 'tui', 'achiev', 'korli']"
0,"['pleas', 'come', 'imin', 'urgoin']"
0,"['moment', 'day', 'bring', 'hope', 'afternoon', 'bring', 'faith', 'even', 'bring', 'luv', 'night', 'bring', 'rest', 'wish', 'u', 'find', 'morn']"
1,"['decemb', 'mobil', 'entitl', 'updat', 'latest', 'colour', 'camera', 'mobil', 'free', 'call', 'mobil', 'updat', 'co', 'free']"
0,"['email', 'yifeng', 'part', 'oredi', 'get', 'fr']"
0,"['object', 'bf', 'come']"
0,"['come', 'home', 'want', 'u', 'miser']"
1,"['congrat', 'mobil', 'videophon', 'r', 'call', 'videochat', 'wid', 'ur', 'mate', 'play', 'java', 'game', 'dload', 'polyh', 'music', 'nolin', 'rentl']"
0,"['born', 'god', 'said', 'anoth', 'born']"
1,"['prize', 'go', 'anoth', 'custom', 'c', 'polo', 'ltd', 'suit', 'london', 'pleas', 'call', 'back', 'busi']"
0,"['wen', 'ur', 'lovabl', 'bcum', 'angri', 'wid', 'u', 'dnt', 'take', 'serious', 'coz', 'angri', 'childish', 'n', 'true', 'way', 'show', 'deep', 'affect', 'care', 'n', 'luv', 'kettoda', 'manda', 'nice', 'day', 'da']"
0,"['yeah', 'got', 'list', 'u', 'joanna', 'feel', 'realli', 'anti', 'social']"
0,"['see', 'christmassi']"
0,"['k', 'head', 'min', 'see']"
1,"['custom', 'may', 'claim', 'free', 'camera', 'phone', 'upgrad', 'pay', 'go', 'sim', 'card', 'loyalti', 'call', 'end', 'c', 'appli']"
0,"['guess', 'useless', 'call', 'u', 'someth', 'import']"
0,"['hey', 'sexi', 'bun', 'day', 'word', 'morn', 'ym', 'think']"
0,"['cant', 'pick', 'phone', 'right', 'pl', 'send', 'messag']"
1,"['hear', 'new', 'come', 'ken', 'stuff']"
0,"['thank', 'look', 'realli', 'appreci']"
0,"['go', 'join', 'tomorrow']"
1,"['good', 'luck', 'draw', 'take', 'place', 'feb', 'good', 'luck', 'remov', 'send', 'stop', 'custom', 'servic']"
0,"['say', 'hi', 'get', 'ass', 'back', 'south', 'tampa', 'prefer', 'kegger']"
0,"['wine', 'flow', 'never']"
0,"['cant', 'think', 'anyon', 'spare', 'room', 'top', 'head']"
1,"['hot', 'live', 'fantasi', 'call', 'per', 'min', 'ntt', 'ltd', 'po', 'box', 'croydon', 'nation', 'rate', 'call']"
0,"['happen', 'yo', 'date']"
1,"['u', 'secret', 'admir', 'reveal', 'think', 'u', 'r', 'special', 'call', 'opt', 'repli', 'reveal', 'stop', 'per', 'msg', 'recd', 'cust', 'care']"
0,"['happen', 'tell', 'truth']"
0,"['noth', 'got', 'msg', 'frm', 'tht', 'unknown']"
0,"['could', 'seen', 'recognis', 'face']"
1,"['sm', 'ac', 'jsco', 'energi', 'high', 'u', 'may', 'know', 'ur', 'leadership', 'skill', 'r', 'strong', 'psychic', 'repli', 'an', 'end', 'repli', 'end', 'jsco']"
0,"['say', 'somebodi', 'name', 'tampa']"
0,"['yo', 'there', 'class', 'tmrw', 'right']"
1,"['urgent', 'mobil', 'number', 'award', 'prize', 'guarante', 'call', 'land', 'line', 'claim', 'valid']"
0,"['ye', 'fine', 'love', 'safe']"
0,"['keep', 'payasam', 'rinu', 'bring']"
0,"['need', 'person', 'give', 'na']"
0,"['aiyah', 'u', 'ok', 'alreadi', 'lar', 'e', 'nydc', 'wheellock']"
1,"['nokia', 'tone', 'ur', 'mob', 'everi', 'week', 'txt', 'nok', 'tone', 'free', 'get', 'txtin', 'tell', 'ur', 'friend', 'repli', 'hl']"
0,"['campu', 'librari']"
0,"['enjoy', 'shower', 'possess', 'pour', 'u', 'ur', 'love', 'one', 'bcoz', 'world', 'lie', 'golden', 'gift', 'love', 'truli']"
0,"['surli', 'ill', 'give', 'come', 'review']"
1,"['lord', 'ring', 'return', 'king', 'store', 'repli', 'lotr', 'june', 'chanc', 'win', 'lotr', 'soundtrack', 'cd', 'stdtxtrate', 'repli', 'stop', 'end', 'txt']"
0,"['pl', 'send', 'comprehens', 'mail', 'pay', 'much']"
1,"['current', 'lead', 'bid', 'paus', 'auction', 'send', 'custom', 'care']"
0,"['wake', 'afternoon', 'sup']"
0,"['let', 'know', 'got', 'money', 'carlo', 'make', 'call']"
1,"['contact', 'date', 'servic', 'someon', 'know', 'find', 'call', 'mobil', 'landlin']"
0,"['k', 'give', 'kvb', 'acc', 'detail']"
0,"['mani', 'buy']"
0,"['call', 'messag', 'miss', 'call']"
0,"['yo', 'parent', 'gettin', 'cash', 'good', 'news', 'pick', 'downstem']"
1,"['dear', 'subscrib', 'ur', 'draw', 'gift', 'voucher', 'b', 'enter', 'receipt', 'correct', 'an', 'elvi', 'presley', 'birthday', 'txt', 'answer']"
0,"['took', 'tablet', 'reaction', 'morn']"
0,"['sister', 'got', 'place', 'birla', 'soft', 'da']"
0,"['keep', 'see', 'weird', 'shit', 'bein', 'realis', 'actual', 'reason']"
0,"['pl', 'pl', 'send', 'mail', 'know', 'rel', 'come', 'deliv', 'know', 'cost', 'risk', 'benefit', 'anyth', 'els', 'thank']"
0,"['use', 'foreign', 'stamp', 'countri', 'good', 'lectur']"
0,"['mom', 'want', 'know']"
0,"['earli', 'bird', 'purchas', 'yet']"
0,"['bring', 'got']"
0,['oki']
0,"['hiya', 'good', 'day', 'spoken', 'sinc', 'weekend']"
0,"['oh', 'yeah', 'hav', 'great', 'time', 'postcard', 'look', 'girl', 'im', 'gone', 'u', 'know', 'talkin', 'bout', 'xx']"
0,"['tri', 'someth', 'dear', 'read', 'someth', 'exam']"
0,"['k', 'make', 'sens', 'btw', 'carlo', 'difficult', 'guy', 'gon', 'na', 'smoke', 'go', 'pick', 'second', 'batch', 'get', 'ga']"
0,"['hello', 'wat', 'talk', 'email', 'address']"
0,"['reach', 'home', 'min']"
0,"['though', 'shd', 'go', 'n', 'fun', 'bar', 'town', 'someth', 'sound', 'ok']"
0,"['okay', 'chase', 'dream', 'good', 'next']"
0,"['sorri', 'im', 'stil', 'fuck', 'last', 'nite', 'went', 'tobe', 'got', 'work']"
0,"['well', 'avail', 'washob', 'nob', 'last', 'night', 'ask', 'nickey', 'platt', 'instead']"
0,"['ello', 'babe', 'u', 'ok']"
0,"['life', 'spend', 'someon', 'lifetim', 'may', 'meaningless', 'moment', 'spent', 'someon', 'realli', 'love', 'mean', 'life']"
0,"['wake', 'sinc', 'check', 'stuff', 'saw', 'true', 'avail', 'space', 'pl', 'call', 'embassi', 'send', 'mail']"
0,"['home', 'doc', 'gave', 'pain', 'med', 'say', 'everyth', 'fine']"
0,"['u', 'sleep', 'go', 'take', 'haha', 'got', 'spi', 'wat', 'onlin', 'check', 'n', 'repli', 'mail', 'lor']"
1,"['loan', 'purpos', 'homeown', 'tenant', 'welcom', 'previous', 'refus', 'still', 'help', 'call', 'free', 'text', 'back']"
0,"['yeah', 'give', 'call', 'got', 'minut']"
0,"['lover', 'need']"
0,"['know', 'anthoni', 'bring', 'money', 'school', 'fee', 'pay', 'rent', 'stuff', 'like', 'that', 'need', 'help', 'friend', 'need']"
0,"['hope', 'would', 'send', 'messag', 'rent', 'due', 'dont', 'enough', 'reserv', 'complet', 'gone', 'loan', 'need', 'hope', 'could', 'balanc', 'lt', 'gt', 'way', 'could', 'get', 'till', 'mid', 'march', 'hope', 'pay', 'back']"
0,"['pleas', 'text', 'anymor', 'noth', 'els', 'say']"
0,"['supervisor', 'find', 'one', 'lor', 'thk', 'student', 'havent', 'ask', 'yet', 'tell', 'u', 'aft', 'ask']"
0,"['goodmorn', 'today', 'late', 'lt', 'decim', 'gt', 'min']"
0,"['hi', 'hope', 'good', 'day', 'better', 'night']"
0,"['think', 'one', 'say', 'clearli', 'ok', 'leav', 'need', 'ask', 'go', 'come']"
0,"['hmm', 'well', 'night', 'night']"
1,"['ur', 'go', 'bahama', 'callfreefon', 'speak', 'live', 'oper', 'claim', 'either', 'bahama', 'cruis', 'cash', 'opt', 'txt', 'x']"
0,"['justbeen', 'overa', 'week', 'sinc', 'broke', 'alreadi', 'brain', 'go', 'mush']"
0,"['dont', 'thnk', 'wrong', 'call', 'us']"
0,"['anyway', 'mani', 'good', 'even', 'u']"
0,"['come', 'around', 'lt', 'decim', 'gt', 'pm', 'vikki', 'otsid', 'nw', 'il', 'come', 'tht', 'time']"
1,"['xma', 'offer', 'latest', 'motorola', 'sonyericsson', 'nokia', 'free', 'bluetooth', 'doubl', 'min', 'txt', 'orang', 'call']"
0,"['call', 'later', 'afternoon', 'onword', 'mtnl', 'servic', 'get', 'problem', 'south', 'mumbai', 'hear', 'listen']"
0,"['bruce', 'amp', 'fowler', 'mom', 'car', 'ca', 'park', 'long', 'stori']"
0,"['still', 'play', 'gautham']"
0,"['messag', 'food']"
0,"['time', 'want', 'come']"
0,"['k', 'give', 'back', 'thank']"
1,"['england', 'v', 'macedonia', 'dont', 'miss', 'news', 'txt', 'ur', 'nation', 'team', 'eg', 'england', 'tri', 'wale', 'scotland']"
0,"['enjoy', 'ur', 'life', 'good', 'night']"
0,"['good', 'even', 'ttyl']"
0,"['take', 'exam', 'march']"
0,"['aiyah', 'ok', 'wat', 'long', 'got', 'improv', 'alreadi', 'wat']"
0,"['one', 'good', 'partnership', 'go', 'take', 'lead']"
0,"['u', 'get', 'messag']"
0,"['u', 'call']"
0,"['tell', 'u', 'headach', 'want', 'use', 'hour', 'sick', 'time']"
0,"['never', 'tri', 'alon', 'take', 'weight', 'tear', 'come', 'ur', 'heart', 'fall', 'ur', 'eye', 'alway', 'rememb', 'stupid', 'friend', 'share', 'bslvyl']"
0,"['raji', 'pl', 'favour', 'pl', 'convey', 'birthday', 'wish', 'nimya', 'pl', 'today', 'birthday']"
0,"['time', 'prob']"
0,"['kate', 'love', 'see', 'tonight', 'ill', 'phone', 'tomorrow', 'got', 'sing', 'guy', 'gave', 'card']"
0,"['usual', 'iam', 'fine', 'happi', 'amp', 'well']"
0,"['nope', 'watch', 'tv', 'home', 'go', 'v', 'bore']"
0,"['ps', 'u', 'ur', 'grown', 'right']"
0,"['k', 'wat', 'tht', 'incid']"
0,"['u', 'awak', 'snow']"
0,"['good', 'wonder', 'wont', 'say', 'hi', 'smile', 'cope', 'long', 'distanc']"
0,"['intrepid', 'duo', 'great', 'time', 'see', 'soon']"
0,"['gobi', 'art', 'colleg']"
1,"['credit', 'top', 'http', 'renew', 'pin', 'tgxxrz']"
0,"['thought', 'put', 'back', 'box']"
0,"['wnt', 'buy', 'bmw', 'car', 'urgent', 'vri', 'hv', 'shortag', 'lt', 'gt', 'sourc', 'arng', 'di', 'amt', 'lt', 'gt', 'lac', 'that', 'prob']"
